molecule_chembl_id,canonical_smiles,pIC50,fingerprint
CHEMBL57430,CCCCCCCCNC(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CF20>
CHEMBL53517,CN(C(=O)N1CCc2cc(S(=O)(=O)Nc3ccccc3)ccc21)C(C)(C)Cc1ccccc1,5.522878745280337,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99CF90>
CHEMBL285458,CCCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5.045757490560675,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D000>
CHEMBL33755,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCCC3)n2)cc1,5.705533773838407,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D070>
CHEMBL33725,CCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5.259637310505756,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D0E0>
CHEMBL288083,CCCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D150>
CHEMBL433042,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCCC3CCCC3)n2)cc1,5.259637310505756,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D1C0>
CHEMBL33013,CCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5.070581074285707,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D230>
CHEMBL285242,O=S(=O)(Nc1ccc(CCNC[C@H](O)c2cccnc2)cc1)c1ccc(-c2noc(CCOC3CCCC3)n2)cc1,5.079198618174345,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D2A0>
CHEMBL285481,CCCCCCc1nc(-c2ccc(S(=O)(=O)Nc3ccc(CCNC[C@H](O)c4cccnc4)cc3)cc2)no1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D310>
CHEMBL67886,COc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(I)cc3)cc2)cc1,6.0655015487564325,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D380>
CHEMBL63842,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Br)cc3)cc2)cn1,5.275724130399211,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D3F0>
CHEMBL67461,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3cnc4ccccc4c3)cc2)cn1,5.200659450546418,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D460>
CHEMBL67416,COc1ccc(S(=O)(=O)Nc2ccc(CCNC[C@H](O)COc3ccc(N)nc3)cc2)cc1,5.259637310505756,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D4D0>
CHEMBL67534,Nc1ccc(OC[C@@H](O)CNCCc2ccc(NS(=O)(=O)c3ccc(Cl)cc3)cc2)cn1,5.698970004336019,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D540>
CHEMBL64936,O=S(=O)(Nc1ccc(CCNC[C@H](O)COc2cccnc2)cc1)c1ccc(Cl)cc1,6.0,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x000001E45F99D5B0>
