action_type,activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,modality,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7670940,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,COC1=C(OC)C(=O)C(CCCCCCCCCCO)=C(C)C1=O,,,CHEMBL1909046,,,,,CHEMBL252556,IDEBENONE,CHEMBL252556,,0,,1539841,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7671247,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CCN1CCN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1,,,CHEMBL1909046,,,,,CHEMBL15511,ENROFLOXACIN,CHEMBL15511,,0,,1539729,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,,7671335,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C=C2c3cccc4[nH]cc(c34)C[C@H]21,,,CHEMBL1909046,,,"{'bei': '9.25', 'le': '0.17', 'lle': '3.39', 'sei': '4.55'}",,CHEMBL442,ERGOTAMINE,CHEMBL442,5.38,0,http://www.openphacts.org/units/Nanomolar,1539737,=,15,1,=,,IC50,nM,,4142.0,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,,,IC50,uM,UO_0000065,,4.142
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7671960,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,COC(=O)Nc1nc2cc(C(=O)c3ccc(F)cc3)ccc2[nH]1,,,CHEMBL1909046,,,,,CHEMBL1454946,FLUBENDAZOLE,CHEMBL1454946,,0,,1539769,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7672061,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,C[C@H](C(=O)O)c1ccc2oc(-c3ccc(F)cc3)nc2c1,,,CHEMBL1909046,,,,,CHEMBL1614641,FLUNOXAPROFEN,CHEMBL1614641,,0,,1539777,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7672263,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,,,,CHEMBL1909046,,,,,CHEMBL1200431,GADOPENTETATE DIMEGLUMINE,CHEMBL1200431,,0,,1539793,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7672407,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,C[C@H]([C@](O)(Cn1cncn1)c1ccc(F)cc1F)S(C)(=O)=O,,,CHEMBL1909046,,,,,CHEMBL34139,GENACONAZOLE,CHEMBL34139,,0,,1539801,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7673235,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,O=C(CCCN1CC=C(n2c(=O)[nH]c3ccccc32)CC1)c1ccc(F)cc1,,,CHEMBL1909046,,,,,CHEMBL1108,DROPERIDOL,CHEMBL1108,,0,,1539721,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7673584,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,,CHEMBL1909046,,,,,CHEMBL532,ERYTHROMYCIN,CHEMBL532,,0,,1539738,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
,Inhibition < 50% @ 10 uM and thus dose-reponse curve not measured,7673716,[],CHEMBL1909091,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),B,,,BAO_0000190,BAO_0000249,cell membrane format,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,,,CHEMBL1909046,,,,,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL691,,0,,1539746,,15,0,,Not active,IC50,,,,CHEMBL213,Homo sapiens,Beta-1 adrenergic receptor,9606,Not Active,,IC50,,,,
